id_10,time,inst1,build1,create1,run1,merge_save1,inst2,create2,run2,merge_save2,cell,N,rate
5,2019-07-04T07:31:37.015518Z,32,0.720180956522624,0.297826743125916,0.231698795159658,0.120159908135732,800,8.70248432159424,76.1553120533625,28.2787040074666,114.506366785367,16,7.15664792408546
16,2019-07-14T01:23:50.422837Z,8,0.522306648890177,0.293375595410665,0.14044949611028,0.0296475211779277,200,2.38696873188019,19.0517630815506,6.02399901946386,28.4485100944837,4,7.11212752362092
17,2019-07-20T23:10:34.810197Z,24,0.696732250849406,0.309586254755656,0.205962999661764,0.0870692332585653,600,6.61589210828145,58.0096831242244,17.4026917258898,83.327617696921,12,6.94396814141009
18,2019-07-09T22:41:54.548331Z,16,0.632754234472911,0.296891558170319,0.158946545918783,0.0585802515347799,400,4.50391468207041,38.1227624297142,12.045791554451,55.8196412563324,8,6.97745515704155
19,2019-07-01T15:11:34.082539Z,34,0.744656689961751,0.296833777427673,0.316945974032084,0.123684720198313,850,9.19640702009201,81.7017912983894,30.3139983654022,122.694317845503,17,7.21731281444138
20,2019-08-01T06:14:00.346730Z,8,0.557731127738953,0.304321602980296,0.14878755013148,0.0324886163075765,200,2.45304624239604,19.0621901591619,5.87862831751506,28.4371936162313,4,7.10929840405782
21,2019-07-07T13:55:28.054254Z,4,0.522219065825144,0.285862640539805,0.146222710609436,0.0149145364761353,100,1.34086626370748,9.54642090002696,2.93505901098251,14.7915651281675,2,7.39578256408374
22,2019-07-26T20:08:33.227822Z,14,0.625508264700572,0.301082992553711,0.159566315015157,0.0506690502166748,350,3.96966512203217,33.3325813253721,10.4526983420054,48.8917714118958,7,6.98453877312797
23,2019-07-26T01:41:08.759164Z,20,0.65009746948878,0.30637446641922,0.172625509897868,0.073352328936259,500,5.49786365826925,47.6938249349594,15.0406797329585,69.4348181009293,10,6.94348181009293
24,2019-07-09T04:20:50.528845Z,16,0.611730217933655,0.294799300034841,0.154979197184245,0.0573173840840658,400,4.46659384568532,38.2080954114596,12.1842157562574,55.9777311126391,8,6.99721638907989
25,2019-08-01T09:11:16.090950Z,22,0.695702791213989,0.31508385737737,0.199013396104177,0.0778585195541382,550,6.08905438582103,52.3690632343292,16.6021559556325,76.3479321400325,11,6.94072110363931
26,2019-06-29T09:44:27.878686Z,14,0.583297669887543,0.28446565469106,0.149608087539673,0.0505464235941569,350,3.93569243748983,33.2304913838704,10.402460428079,48.6365620851517,7,6.94808029787881
27,2019-07-30T01:08:00.650619Z,14,0.625204201539358,0.311631007989248,0.152090259393056,0.0510966420173645,350,3.98355115652084,33.3846853772799,10.3221681992213,48.8304268439611,7,6.97577526342301
28,2019-07-29T14:39:40.911237Z,22,0.697715433438619,0.310031966368357,0.198787339528402,0.0778028964996338,550,6.12730139891307,52.7951953609785,16.4209843595823,76.6278187553088,11,6.96616534139171
29,2019-06-25T23:35:58.854691Z,18,0.604331135749817,0.280066029230754,0.160205745697021,0.0675178170204163,450,5.09128454128901,42.7684119780858,13.7895264188449,62.7613436659177,9,6.97348262954641
30,2019-07-13T03:24:03.974973Z,30,0.751850068569183,0.309529741605123,0.222415061791738,0.108108635743459,750,8.08044202725093,72.3859418670336,23.5896414081256,105.44792881012,15,7.02986192067464
31,2019-06-28T02:43:51.563780Z,24,0.692984259128571,0.288615854581197,0.208009215195974,0.0867809414863586,600,6.63910652001699,56.9846005876859,18.1826400756836,83.0827374537786,12,6.92356145448155
32,2019-07-06T13:18:16.502682Z,20,0.679970220724742,0.294874588648478,0.169870746135712,0.0730504393577576,500,5.52313892841339,47.9368694464366,15.5302949269613,70.2080692966779,10,7.02080692966779
33,2019-07-05T15:11:44.248157Z,14,0.589710402488709,0.28989048798879,0.157465728123983,0.0519866228103638,350,3.96227653026581,33.3432380874952,10.4678057471911,48.8623736063639,7,6.98033908662342
34,2019-07-14T15:34:30.706970Z,18,0.661462140083313,0.30015648206075,0.166851194699605,0.064129372437795,450,5.04362103939056,42.8558583696683,13.7504820903142,62.8425606886546,9,6.98250674318384
35,2019-06-25T12:32:32.285665Z,16,0.594217705726624,0.278104094664256,0.158586692810059,0.0594400405883789,400,4.58759658734004,37.9647543350856,12.0526650706927,55.6953645269076,8,6.96192056586345
36,2019-07-29T10:19:11.969365Z,16,0.617672224839529,0.305535944302877,0.159701232115428,0.0600151856740316,400,4.45693231026332,38.0726327061653,11.9432678023974,55.6157574057579,8,6.95196967571974
37,2019-07-23T06:28:34.694557Z,36,0.789447430769602,0.313733343283335,0.325892814000448,0.131869546572367,900,9.63689380884171,85.6301528890928,28.2117375771205,125.039727409681,18,6.94665152276004
38,2019-07-21T17:05:54.606856Z,20,0.647912391026815,0.308896497885386,0.167867306868235,0.0748244444529216,500,5.62063521941503,47.6024686495463,14.9711236596107,69.3937281688054,10,6.93937281688054
39,2019-06-26T01:13:54.141352Z,32,0.737866079807282,0.291464432080587,0.238549542427063,0.116808009147644,800,8.8351174791654,75.9164155761401,24.1692629575729,110.305484076341,16,6.89409275477131
40,2019-06-29T00:46:00.469610Z,26,0.709779131412506,0.291630093256632,0.211045157909393,0.0943841377894084,650,7.08033210436503,62.1593669493993,19.659793305397,90.2063308795293,13,6.93894852919456
41,2019-07-15T21:57:14.206328Z,30,0.744260307153066,0.307633415857951,0.221165359020233,0.10936191479365,750,8.12288018067678,71.3810071309408,22.7376260479291,103.623934356372,15,6.90826229042477
